,Scores_Train
0,1.001339554930896
1,1.001339554930896
2,1.001339554930896
3,1.001339554930896
4,1.001339554930896
5,1.001339554930896
6,1.001339554930896
7,1.001339554930896
8,1.001339554930896
9,1.001339554930896
10,1.001339554930896
11,1.001339554930896
12,1.001339554930896
13,1.001339554930896
14,1.001339554930896
15,1.001339554930896
16,1.001339554930896
17,1.001339554930896
18,1.001339554930896
19,1.001339554930896
20,1.001339554930896
21,1.001339554930896
22,1.001339554930896
23,1.001339554930896
24,1.001339554930896
25,1.001339554930896
26,1.001339554930896
27,1.001339554930896
28,1.001339554930896
29,1.001339554930896
30,1.001339554930896
31,1.001339554930896
32,1.001339554930896
33,1.001339554930896
34,1.001339554930896
35,1.001339554930896
36,1.001339554930896
37,1.001339554930896
38,1.001339554930896
39,1.001339554930896
40,1.001339554930896
41,1.001339554930896
42,1.001339554930896
43,1.001339554930896
44,1.001339554930896
45,1.001339554930896
46,1.001339554930896
47,1.001339554930896
48,1.001339554930896
49,1.001339554930896
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0010101407039478
151,1.0010101407039478
152,1.0010101407039478
153,1.0010101407039478
154,1.0010101407039478
155,1.0010101407039478
156,1.0010101407039478
157,1.0010101407039478
158,1.0010101407039478
159,1.0010101407039478
160,1.0010101407039478
161,1.0010101407039478
162,1.0010101407039478
163,1.0010101407039478
164,1.0010101407039478
165,1.0010101407039478
166,1.0010101407039478
167,1.0010101407039478
168,1.0010101407039478
169,1.0010101407039478
170,1.0010101407039478
171,1.0010101407039478
172,1.0010101407039478
173,1.0010101407039478
174,1.0010101407039478
175,1.0010101407039478
176,1.0010101407039478
177,1.0010101407039478
178,1.0010101407039478
179,1.0010101407039478
180,1.0010101407039478
181,1.0010101407039478
182,1.0010101407039478
183,1.0010101407039478
184,1.0010101407039478
185,1.0010101407039478
186,1.0010101407039478
187,1.0010101407039478
188,1.0010101407039478
189,1.0010101407039478
190,1.0010101407039478
191,1.0010101407039478
192,1.0010101407039478
193,1.0010101407039478
194,1.0010101407039478
195,1.0010101407039478
196,1.0010101407039478
197,1.0010101407039478
198,1.0010101407039478
199,1.0010101407039478
200,1.4855571525645592
201,1.4855571525645592
202,1.4855571525645592
203,1.4855571525645592
204,1.4855571525645592
205,1.4855571525645592
206,1.4855571525645592
207,1.4855571525645592
208,1.4855571525645592
209,1.4855571525645592
210,1.4855571525645592
211,1.4855571525645592
212,1.4855571525645592
213,1.4855571525645592
214,1.4855571525645592
215,1.4855571525645592
216,1.4855571525645592
217,1.4855571525645592
